klk_EN,year,month,day,Warehouse,hours,cargotype,traffic_stream
43,2022,7,25,6455,18_19,0,0
13,2022,7,25,6455,10_11,0,0
27,2022,7,25,6455,14_15,0,1
9,2022,7,25,6455,08_09,0,1
1,2022,7,25,6455,08_09,1,1
30,2022,7,25,6455,17_18,0,1
17,2022,7,25,6455,12_13,0,0
6,2022,7,25,6455,20_21,0,1
1,2022,7,25,6455,19_20,1,1
47,2022,7,26,6455,19_20,0,1
2,2022,7,26,6455,19_20,1,1
167,2022,7,26,6455,15_16,0,0
1,2022,7,26,6455,07_08,0,0
1,2022,7,26,6455,07_08,0,1
20,2022,7,26,6455,10_11,0,1
50,2022,7,26,6455,18_19,0,1
1,2022,7,26,6455,10_11,1,0
16,2022,7,26,6455,12_13,0,0
44,2022,7,26,6455,17_18,0,1
32,2022,7,26,6455,18_19,0,0
33,2022,7,26,6455,16_17,0,0
9,2022,7,26,6455,09_10,0,0
33,2022,7,26,6455,13_14,0,1
1,2022,7,26,6455,16_17,1,1
12,2022,7,26,6455,10_11,0,0
38,2022,7,26,6455,17_18,0,0
30,2022,7,26,6455,16_17,0,1
15,2022,7,26,6455,13_14,0,0
34,2022,7,26,6455,15_16,0,1
39,2022,7,26,6455,14_15,0,0
19,2022,7,26,6455,08_09,0,1
32,2022,7,26,6455,09_10,0,1
29,2022,7,26,6455,12_13,0,1
29,2022,7,26,6455,14_15,0,1
8,2022,7,26,6455,19_20,0,0
10,2022,7,26,6455,11_12,0,0
12,2022,7,26,6455,08_09,0,0
10,2022,7,26,6455,20_21,0,0
15,2022,7,26,6455,20_21,0,1
39,2022,7,26,6455,11_12,0,1
6,2022,7,27,6455,10_11,0,0
26,2022,7,27,6455,14_15,0,1
36,2022,7,27,6455,19_20,0,1
30,2022,7,27,6455,09_10,0,1
7,2022,7,27,6455,08_09,0,0
30,2022,7,27,6455,16_17,0,1
86,2022,7,27,6455,17_18,0,0
40,2022,7,27,6455,12_13,0,1
36,2022,7,27,6455,17_18,0,1
10,2022,7,27,6455,11_12,0,0
42,2022,7,27,6455,18_19,0,1
4,2022,7,27,6455,07_08,0,1
23,2022,7,27,6455,15_16,0,0
20,2022,7,27,6455,08_09,0,1
9,2022,7,27,6455,13_14,0,0
5,2022,7,27,6455,09_10,0,0
108,2022,7,27,6455,16_17,0,0
18,2022,7,27,6455,10_11,0,1
30,2022,7,27,6455,13_14,0,1
8,2022,7,27,6455,20_21,0,0
10,2022,7,27,6455,14_15,0,0
17,2022,7,27,6455,12_13,0,0
1,2022,7,27,6455,11_12,1,1
34,2022,7,27,6455,11_12,0,1
27,2022,7,27,6455,15_16,0,1
17,2022,7,27,6455,20_21,0,1
7,2022,7,27,6455,19_20,0,0
4,2022,7,27,6455,07_08,0,0
23,2022,7,27,6455,18_19,0,0
52,2022,7,28,6455,18_19,0,1
34,2022,7,28,6455,13_14,0,0
16,2022,7,28,6455,08_09,0,1
9,2022,7,28,6455,10_11,0,0
29,2022,7,28,6455,14_15,0,0
25,2022,7,28,6455,16_17,0,0
68,2022,7,28,6455,15_16,0,0
43,2022,7,28,6455,16_17,0,1
8,2022,7,28,6455,12_13,0,0
11,2022,7,28,6455,11_12,0,0
17,2022,7,28,6455,09_10,0,1
25,2022,7,28,6455,19_20,0,1
33,2022,7,28,6455,13_14,0,1
3,2022,7,28,6455,09_10,0,0
