klk_EN,year,month,day,iWarehouseSenderID,hours,cargotype,traffic_stream
66,2023,2,1,1545,11_12,0,0
8,2023,2,1,1545,08_09,0,0
65,2023,2,1,1545,11_12,0,1
90,2023,2,1,1545,10_11,0,1
52,2023,2,1,1545,15_16,0,0
30,2023,2,1,1545,10_11,0,0
66,2023,2,1,1545,19_20,0,1
1,2023,2,1,1545,21_22,0,1
65,2023,2,1,1545,16_17,0,1
29,2023,2,1,1545,08_09,0,1
98,2023,2,1,1545,20_21,0,0
1,2016,3,1,1545,10_11,1,0
1,2016,3,1,1545,12_13,1,1
2,2016,3,1,1545,16_17,1,1
10,2016,3,1,1545,08_09,0,1
10,2016,3,1,1545,9_10 ,0,0
12,2016,3,1,1545,08_09,0,0
12,2016,3,1,1545,9_10 ,0,1
15,2016,3,1,1545,10_11,0,0
15,2016,3,1,1545,10_11,0,1
21,2016,3,1,1545,20_21,0,1
26,2016,3,1,1545,11_12,0,0
34,2016,3,1,1545,20_21,0,0
35,2016,3,1,1545,11_12,0,1
36,2016,3,1,1545,13_14,0,0
39,2016,3,1,1545,12_13,0,0
46,2016,3,1,1545,15_16,0,0
48,2016,3,1,1545,12_13,0,1
54,2016,3,1,1545,13_14,0,1
56,2016,3,1,1545,14_15,0,0
66,2016,3,1,1545,17_18,0,1
70,2016,3,1,1545,18_19,0,1
75,2016,3,1,1545,16_17,0,1
79,2016,3,1,1545,14_15,0,1
79,2016,3,1,1545,16_17,0,0
85,2016,3,1,1545,19_20,0,1
85,2016,3,1,1545,21_22,0,0
86,2016,3,1,1545,15_16,0,1
111,2016,3,1,1545,02_03,0,0
152,2016,3,1,1545,17_18,0,0
162,2016,3,1,1545,18_19,0,0
178,2016,3,1,1545,19_20,0,0
1,2017,3,1,1545,17_18,1,0
1,2017,3,1,1545,19_20,1,0
1,2017,3,1,1545,22_23,0,0
6,2017,3,1,1545,08_09,0,0
12,2017,3,1,1545,23_24,0,0
15,2017,3,1,1545,20_21,0,0
18,2017,3,1,1545,10_11,0,0
24,2017,3,1,1545,08_09,0,1
27,2017,3,1,1545,9_10 ,0,1
32,2017,3,1,1545,9_10 ,0,0
34,2017,3,1,1545,13_14,0,0
42,2017,3,1,1545,11_12,0,0
47,2017,3,1,1545,10_11,0,1
47,2017,3,1,1545,12_13,0,0
49,2017,3,1,1545,20_21,0,1
52,2017,3,1,1545,15_16,0,0
54,2017,3,1,1545,12_13,0,1
56,2017,3,1,1545,18_19,0,1
56,2017,3,1,1545,19_20,0,1
57,2017,3,1,1545,14_15,0,0
61,2017,3,1,1545,17_18,0,1
